authorLabel,combinedGenres,birthDate,combinedNationalityOrLanguage,topBooks
Jeanette Winterson,Children's fiction,1959-08-27,,Oranges Are Not the Only Fruit
Jeannette Walls,Non-fiction,1960-04-21,,"Half Broke Horses, The Glass Castle"
Jeff Andrus,Mystery fiction,1947-03-19,English,"As Summers Die, The Jeweler's Shop"
Jeff Lindsay,Mystery fiction,1952-07-14,,Dexter Morgan
Jeff Shaara,Historical fiction,1952-02-21,,"Gods and Generals (novel), The Last Full Measure (novel)"
Jennifer A. Nielsen,Young adult fiction,1971-07-10,English,Ascendance Trilogy
Jennifer Allison,Fiction,1966-07-15,,"Gilda Joyce: Psychic Investigator, Gilda Joyce: The Ladies of the Lake"
Jennifer Donnelly,"Historical fiction, Young adult fiction",1963-08-16,,"A Northern Light, Revolution (novel), The Tea Rose"
Jennifer Haigh,Literary Fiction,1968-10-16,,"Baker Towers, Mrs. Kimble, The Condition"
Jennifer Rardin,Urban fantasy,1965-04-28,English,Jaz Parks series
Jennifer Teege,memoir,1970-06-29,Germans,My Grandfather Would Have Shot Me
Jennifer Weiner,Women's fiction,1970-03-28,,"Good in Bed, In Her Shoes (novel)"
Jenny Nimmo,"Adventure novel, Children's literature",1944-01-15,,"Children of the Red King, The Snow Spider"
Jens Lapidus,Crime fiction,1974-05-24,Sweden,Easy Money (novel)
Jeremy Lloyd,Television,1930-07-22,British people,"'Allo 'Allo!, Are You Being Served?, Come Back Mrs Noah, Grace and Favour, Oh, Happy Band!, Rowan & Martin's Laugh-In, Which Way to the War"
Jericho Brown,Poetry,1976-04-14,English,The Tradition (poetry collection)
Jerilyn Lee Brandelius,Photojournalism,1948-06-25,,The Grateful Dead Family Album
Jerome Bixby,Western fiction,1923-01-11,,"It's a Good Life, Mirror, Mirror (Star Trek: The Original Series)"
Jerry Ahern,Science fiction,1946-06-23,,The Survivalist (novel series)
Jerry Spinelli,"Children's literature, Young-adult novel",1941-02-01,,"Eggs (novel), Maniac Magee, Space Station Seventh Grade, Stargirl (novel), Who Put That Hair in My Toothbrush?, Wringer (novel)"
Jerry Stahl,Transgressive fiction,1953-09-28,English,Permanent Midnight
Jerzy Giedroyc,Publicist,1906-07-27,Poles,Kultura
Jessica Burkhart,"Preadolescence, Young adult fiction",1987-01-29,,Canterwood Crest
Jessica Townsend,"Children's literature, Fantasy",1985-04-18,English,The Nevermoor series
Jhumpa Lahiri,"Novel, Postcolonial, Short story",1967-07-11,,"Interpreter of Maladies, The Lowland, The Namesake (novel), Unaccustomed Earth"
Ji-li Jiang,"Fiction, Memoir",1954-02-02,English,Red Scarf Girl
Jibanananda Das,"Poetry, novels, short stories, criticism",1899-02-17,British Indian,"Akashlina, Banalata Sen, Banalata Sen (book), Bodh (poem), Campe (poem), Rupasi Bangla"
Jillian Lauren,"Fiction, Memoir, Tragicomedy",1973-08-16,,Some Girls: My Life in a Harem
Jim Allen (playwright),"Drama, fiction, screenplays",1926-10-07,,"Coronation Street, Days of Hope, Hidden Agenda (1990 film), Land and Freedom (film), Perdition (play), Raining Stones, The Rank and File (Play for Today), The Spongers, The Wednesday Play"
Jim Butcher,"Fantasy literature, Science fiction, Speculative fiction",1971-10-26,,"Codex Alera, The Dresden Files"
Jim Crace,Realistic fiction,1946-03-01,,"Being Dead, Continent (novel), Harvest (Crace novel), Quarantine (Crace novel), The Gift of Stones"
Jim Field Smith,Comedy,1979-02-20,,"Episodes (TV series), She's Out of My League, Stag (miniseries), The Wrong Mans (UK TV series)"
Jim Thompson (writer),"Autobiography, Crime fiction, Hardboiled, Literary fiction, Pulp magazine, Suspense",1906-09-27,English,"After Dark, My Sweet (novel), The Grifters (novel), The Killer Inside Me"
Joan Aiken,"Alternative history, Children's literature, Supernatural fiction",1924-09-04,British people,The Wolves of Willoughby Chase
Joan Brady (American-British writer),Suspense fiction,1939-12-04,English,Theory of War
Joan D. Vinge,Science fiction,1948-04-02,,The Snow Queen (Vinge novel)
Joanna Russ,"Fantasy, Feminist science fiction",1937-02-22,,"How to Suppress Women's Writing, The Female Man, To Write Like a Woman, When It Changed"
Joanne Cole,Children's books and TV,1934-06-06,,"Bod (TV series), Fingerbobs, Gran (TV series)"
Joanne Harris,"literary fiction, magic realism",1964-07-03,,"Blackberry Wine, Chocolat (novel), Gentlemen & Players, Peaches for Monsieur le Curé, Runelight, Runemarks, The Lollipop Shoes"
Joe Abercrombie,Fantasy,1974-12-31,,"Shattered Sea, The First Law"
Joe Craig (writer),"Adventure novel, Children's Books, Spy fiction, Thriller (genre)",1981-12-31,,Jimmy Coates
Joe Dever,Fantasy,1956-02-12,,Lone Wolf (gamebooks)
Joe Haldeman,Science fiction,1943-06-09,American people,The Forever War
Joe McGinniss,"Nonfiction, and novels",1942-12-09,English,"Blind Faith (book), Cruel Doubt, Fatal Vision, Going to Extremes (book), The Miracle of Castel di Sangro, The Selling of the President 1968"
Joel Rosenberg (science fiction author),"Fantasy, Mystery fiction, Science fiction",1954-05-01,English,Guardians of the Flame
Johanna Spyri,Children's literature,1827-06-12,,Heidi
Johanna Thydell,Children's literature,1980-11-14,Swedish language,In the Ceiling the Stars Are Shining
John Boyne,Literary fiction,1971-04-30,,"The Absolutist, The Boy in the Striped Pyjamas"
John Brunner (author),"Fantasy, Science fiction",1934-09-24,,"Stand on Zanzibar, The Jagged Orbit, The Sheep Look Up, The Shockwave Rider"
John Bunyan,"Christian fiction, Poetry, Sermon, Socratic dialogue",1628-11-30,,"The Holy War, The Life and Death of Mr. Badman, The Pilgrim's Progress"
John Cheever,Short story,1912-05-27,,"Bullet Park, Falconer (novel), Oh What a Paradise It Seems, The Enormous Radio, The Five-Forty-Eight, The Swimmer (short story), The Wapshot Chronicle, The Wapshot Scandal"
John Christopher,Science fiction,1922-04-16,,"The Death of Grass, The Guardians (Christopher novel), The Tripods"
John Ciardi,Etymologist,1916-06-24,,La Divina Commedia
John Cowper Powys,"Novel, poetry, philosophy",1872-10-08,,"A Glastonbury Romance, John Cowper Powys's Autobiography, Owen Glendower (novel), Porius: A Romance of the Dark Ages, Wolf Solent"
John Creasey,"Romance novel, Western fiction",1908-09-17,,"George Gideon, The Baron (TV series), The Toff"
John Crowley (author),"Essay, Fantasy, Historical fiction, Science fiction",1942-12-01,English,"Dæmonomania, Endless Things, Engine Summer, Little, Big, Love & Sleep, Ægypt"
John D. Fitzgerald,Children's literature,1906-02-03,,The Great Brain
John Dale (writer),Crime fiction,1953-01-15,English,Dark Angel (Dale novel)
John David Morley,"Fiction, Philosophical fiction, Travel literature",1948-01-21,,"Destiny, or The Attraction of Affinities, Ella Morris, In the Labyrinth (novel), Journey to the End of the Whale, Passage (2007 novel), Pictures from the Water Trade, The Anatomy Lesson (1995 novel), The Book of Opposites, The Case of Thomas N., The Feast of Fools (novel)"
John Dickson Carr,"Detective novel, Murder mystery",1906-11-30,,"The Burning Court, The Hollow Man (1935 novel)"
John Edward Williams,Novel,1922-08-29,,"Augustus (Williams novel), Butcher's Crossing, Stoner (novel)"
John Eric Holmes,"Fantasy, Non-fiction, Science fiction",1930-02-16,,Dungeons & Dragons Basic Set
John Evangelist Walsh,Literary biography,1927-12-27,English,Reader's Digest Bible
John Flanagan (author),"Adventure novel, Fantasy literature",1944-05-22,English,"Brotherband, Ranger's Apprentice"
John Galt (novelist),"poetry, drama, short stories, travel writing",1779-05-02,,Annals of the Parish
John Gardner (British writer),"Crime fiction, Spy fiction",1926-11-20,,"Boysie Oakes, List of James Bond novels and short stories"
John Gordon (author),Supernatural fiction,1925-11-19,,The Giant Under the Snow
John Henry Mackay,"Non-fiction, fiction, poetry",1864-02-06,,Die Anarchisten
John J. Nance,"Aviation-based novels, non-fiction",1946-07-05,,Pandora's Clock
John Jakes,"Fantasy, Historical novels, Science fiction",1932-03-31,,"North and South (trilogy), The Kent Family Chronicles"
John Jantsch,Business,1960-04-02,,The Commitment Engine: Making Work Worth It
John Kessel,"Comic science fiction, Fantasy literature, Metafiction, Satire, Science fiction",1950-09-24,,"Corrupting Dr. Nice, Good News from Outer Space"
John McGahern,"Novel, short story",1934-11-12,Republic of Ireland,"Amongst Women, The Barracks, The Dark (McGahern novel), The Pornographer"
John McKellar (writer),Revue,1930-08-13,,"A Cup of Tea, a Bex and a Good Lie Down"
John Newbery,Children's Literature,1713-07-09,English,The History of Little Goody Two-Shoes
John Norman,"Science fantasy, Sword and planet",1931-06-03,,Gor
John O'Grady (writer),Satire,1907-10-09,English,They're a Weird Mob
John Osborne,"Kitchen sink realism, Social realism",1929-12-12,,"Inadmissible Evidence, Look Back in Anger, The Entertainer (play)"
John Schoenherr,"Children's literature, Science fiction",1935-07-05,,"Owl Moon, The Illustrated Dune"
John Updike,Literary realism,1932-03-18,,"Henry Bech, Rabbit Redux, Rabbit at Rest, Rabbit is Rich, Rabbit, Run, The Witches of Eastwick"
John Verdon,"Adventure, Detective, Mystery fiction, Thriller (genre)",1942-01-01,English,Think of a Number
John William De Forest,Fiction,1826-05-31,Americans,Miss Ravenel's Conversion from Secession to Loyalty
John Wilson (Canadian writer),"Historical Fiction, Non-fiction",1951-08-02,Canadians,Four Steps to Death
John le Carré,Spy fiction,1931-10-19,,"A Perfect Spy, Smiley's People, The Constant Gardener, The Honourable Schoolboy, The Little Drummer Girl, The Night Manager, The Tailor of Panama, Tinker Tailor Soldier Spy"
Johnnie Mortimer,Television,1931-07-02,British people,"Alcock and Gander, Father, Dear Father, Full House (British TV series), George and Mildred, Let There Be Love (TV series), Man About the House, Never the Twain, Robin's Nest (TV series), Tom, Dick and Harriet"
Johnny Gruelle,"Children's literature, Comic strip",1880-12-24,,Raggedy Ann
Johnny Speight,Television,1920-06-02,,"Curry and Chips, In Sickness and in Health, Till Death Us Do Part"
Jon Cleary,"Drama, crime fiction",1917-11-22,,"Scobie Malone, The Sundowners (novel)"
Jon Hunter Spence,Jane Austen,1945-07-30,English,Becoming Jane Austen
Jon Klassen,"Animation, Children's literature",1981-11-29,,"I Want My Hat Back, Sam and Dave Dig a Hole, This Is Not My Hat"
Jonah Bokaer,"Choreography, Dance, Performance, Media, Activism, New Genres",1981-10-01,,STACKS
Jonah Lehrer,popular science,1981-06-25,,Product recall
Jonathan Coe,Satire,1961-08-19,,"Middle England (novel), The Rotters' Club (novel), What a Carve Up! (novel)"
Jonathan Franzen,Literary fiction,1959-08-17,,"Crossroads (novel), Freedom (Franzen novel), The Corrections"
Jordan Ifueko,Fantasy,1993-08-16,Nigeria,"Raybearer, Redemptor"
Jordan Ifueko,Fantasy,1993-08-16,United States,"Raybearer, Redemptor"
Jorge Ibargüengoitia,Novel,1928-01-22,Spanish,Los relámpagos de agosto
Joris-Karl Huysmans,Fiction,1848-02-05,,"En route (novel), Là-bas (novel), The Cathedral (Huysmans novel), À rebours"
Joseph Boyden,"First Nations in Canada, Historical fiction",1966-10-31,,"The Orenda, Three Day Road, Through Black Spruce"
Joseph Conrad,Fiction,1857-12-03,Poles in the United Kingdom,"Almayer's Folly, Heart of Darkness, Lord Jim, Nostromo, The Nigger of the 'Narcissus', The Secret Agent, Typhoon (novel), Under Western Eyes (novel)"
Joseph Ellis,History,1943-07-18,,Founding Brothers: The Revolutionary Generation
Joseph Freiherr von Eichendorff,Fairy tale,1788-03-10,,"Memoirs of a Good-for-Nothing, The Marble Statue"
Joseph Greene (writer),"Romance comics, Science fiction",1914-08-01,,"Tom Corbett, Space Cadet"
Joseph Heller,Black comedy,1923-05-01,,"Catch-22, Something Happened"
Joseph P. Lash,Biography,1909-12-02,United States,"Eleanor and Franklin (book), Eleanor: The Years Alone"
Josh Dies,"Christian rock, Post-hardcore, Screamo",1983-06-12,,The Spinal Cord Perception
Josh Viola,"Fantasy, Horror fiction, Science fiction",1983-07-23,,"Cyber World, Denver Moon, Nightmares Unhinged, The Bane of Yoto"
Jostein Gaarder,"Children's literature, Fiction",1952-08-08,,"Appelsinpiken, Sophie's World, The Solitaire Mystery"
José Donoso,"Novel, short story",1924-10-05,Spanish,"Hell Has No Limits, The Obscene Bird of Night"
José Eduardo Agualusa,History of Angola,1960-12-13,Angola,A General Theory of Oblivion
José Eustasio Rivera,Novel,1888-02-19,Colombian people,The Vortex (novel)
José Rodrigues dos Santos,"Novel, historical fiction",1964-04-01,,A Fórmula de Deus
José de la Cuadra,Social realism,1903-09-03,,Los Sangurimas
Joël Dicker,Thriller (genre),1985-06-16,,The Truth About the Harry Quebert Affair
Joža Horvat,Novele,1915-03-10,,Ciguli Miguli
Judith Kerr,Children's literature,1923-06-14,,"Mog (Judith Kerr), The Tiger Who Came to Tea, When Hitler Stole Pink Rabbit"
Judy Blume,"Children's books, Realism (arts)",1938-02-12,,"Are You There God? It's Me, Margaret., Tales of a Fourth Grade Nothing, Tiger Eyes"
Julia Davis Adams,"Children's literature, Mystery fiction",1900-07-23,,"Mountains are Free, Vaino, A Boy of New Finland"
Julia Donaldson,Children's fiction,1948-09-16,,"Room on the Broom, Stick Man, The Gruffalo"
Julia Sauer,"Children's fantasy, realistic fiction",1891-04-08,,"Fog Magic, The Light at Tern Rock"
Julie Anne Peters,Young adult literature,1952-01-16,,"Keeping You a Secret, Luna (Peters novel)"
Julie Campbell Tatham,Children's literature,1908-06-01,English,Trixie Belden
Julie Otsuka,Historical fiction,1962-05-15,English,When the Emperor was Divine
Julio Cortázar,Short story,1914-08-26,,"Blow-up and Other Stories, Hopscotch (Julio Cortázar novel)"
Julius Urgiß,"screenplays, reviews",1873-08-06,,"Die Straße, Skandal um Eva, The Eleven Schill Officers (1926 film)"
Juliusz Słowacki,Lyrical poem,1809-09-04,Polish people,"Anhelli, Balladyna (drama), Kordian, Testament mój"
Jun Maeda,"Drama, Fantasy, Romance (love)",1975-01-03,,"Air (visual novel), Angel Beats!, Charlotte (TV series), Clannad (visual novel), Kanon (visual novel), Little Busters!, Summer Pockets, The Day I Became a God"
Justus Hiddes Halbertsma,Poetry collection,1789-10-23,West Frisians,Rimen en Teltsjes
Justus Hiddes Halbertsma,Poetry collection,1789-10-23,West Frisians,Rimen en Teltsjes
Józsi Jenő Tersánszky,Children's literature,1888-09-12,,Misi mókus kalandjai
K. R. Meera,"Novel, Short story",1970-02-19,,Aarachaar
Kalki Krishnamurthy,"Historic fiction, social fiction",1899-09-09,,"Alai Osai, Kalvanin Kadhali (novel), Parthiban Kanavu, Ponniyin Selvan, Sivagamiyin Sapatham, Thyaga Bhoomi"
Kalyan Bulchand Advani,"Prose, poetry",1911-12-10,India,"Sachal Sarmast, Sami (poet), Shah Abdul Latif Bhittai, Shah Jo Risalo, Shakuntala (play)"
Kamala Surayya,"Poetry, novel, short story, memoirs",1934-03-31,,"Ente Katha, My Story (Das book)"
Kamalakara Kameswara Rao,"Epic film, Historical",1911-10-14,,"Gundamma Katha, Mahakavi Kalidasu, Mahamantri Timmarusu (film), Nartanasala (1963 film)"
Kamila Shamsie,Fiction,1973-08-13,,"Burnt Shadows, Home Fire (novel)"
Kamleshwar (writer),"Novel, short story, essay, screenplay",1932-01-06,,Kitne Pakistan
Karel Čapek,"Fairy tales, Political satire, Science fiction",1890-01-09,Czech people,"Krakatit, R.U.R, The Absolute at Large, The White Disease, War with the Newts"
Karen Cushman,Young adult fiction,1941-10-04,American people,"Catherine, Called Birdy, The Midwife's Apprentice"
Karen M. McManus,"Mystery fiction, Young adult fiction",1969-05-14,English,One of Us Is Lying
Karyn Bosnak,Nonfiction,1974-09-24,,Save Karyn
Kass Morgan,"Dystopian, Post-apocalyptic, Science fiction, Young adult fiction",1984-07-21,United States,The 100 (novel)
Kate Cary,Fantasy,1967-11-04,,"Bloodline (2005 novel), Seekers (novel series), Warriors (novel series)"
Kate Chopin,Realistic fiction,1850-02-08,,The Awakening (Chopin novel)
Kate DiCamillo,Children's literature,1964-03-25,,"Because of Winn-Dixie, Flora & Ulysses: The Illuminated Adventures, Mercy Watson series, The Miraculous Journey of Edward Tulane, The Tale of Despereaux, The Tiger Rising"
Katharine Lee Bates,Poetry,1859-08-12,,America the Beautiful
Katherine Applegate,"Adventure novel, Children's literature, Science fiction",1956-10-09,American people,"Animorphs, The One and Only Ivan"
Katherine Binney Shippen,Children's literature,1892-04-01,English language,"Men, Microscopes, and Living Things, New Found World"
Katherine Kurtz,Fantasy,1944-10-18,,Deryni novels
Katherine Paterson,"Children's literature, Young adult fiction",1932-10-31,American people,"Bridge to Terabithia (novel), Jacob Have I Loved, The Day of the Pelican, The Great Gilly Hopkins, The Master Puppeteer"
Kathleen E. Woodiwiss,Romance novel,1939-06-03,,The Flame and the Flower
Kathleen Flinn,"Food writing, narrative non-fiction",1967-06-01,,"The Sharper Your Knife, the Less You Cry"
Kathleen Tessaro,Historical fiction,1965-06-01,English,Elegance
Kathleen Winsor,novels,1919-10-16,,Forever Amber (novel)
Katie Arnoldi,Literary fiction,1959-02-24,,Point Dume
Kaye Gibbons,Southern literature,1960-05-05,,Ellen Foster
Kazuki Sakuraba,"Crime fiction, Light novel",1971-07-26,Japanese,Gosick
Kazumasa Hirai (author),Science fiction,1938-05-13,Japanese people,"8 Man, Genma Wars, Wolf Guy"
Keigo Higashino,"Crime fiction, Mystery fiction, Thriller (genre)",1958-02-04,,"Miracles of the Namiya General Store, Naoko (novel), The Devotion of Suspect X"
Keiichi Hasegawa,"Anime, Tokusatsu",1962-02-01,Japanese language,"Kamen Rider, Rage of Bahamut, SSSS.Gridman, Ultra Series"
Keisuke Matsuoka,Mystery and thriller,1968-12-03,,Saimin (film)
Keith Laumer,Science fiction,1925-06-09,,"Bolo (self-aware tank), Jame Retief"
Keith Roberts,"Fantasy, Thriller (genre)",1935-09-20,,Pavane (novel)
Ken Follett,"Historical fiction, Spy novel, Thriller (genre)",1949-06-05,,"Whiteout (Follett novel), World Without End (Follett novel)"
Ken Kesey,Postmodernism,1935-09-17,,"One Flew Over the Cuckoo's Nest (novel), Sometimes a Great Notion"
Ken'ichi Sakemi,"Fantasy, Historical fiction, Science fiction",1963-11-26,,"Bokkō (novel), Kōkyū Shōsetsu"
Ken'ichi Yamamoto,Historical novels,1956-07-23,,利休にたずねよ
Kenneth Grahame,Fiction,1859-03-08,,The Wind in the Willows
Kenneth Roberts (author),Historical fiction,1885-12-08,,Northwest Passage (novel)
Kenneth Yasuda,"Poetry, Poetry Criticism",1914-06-23,,Haiku
Kent Haruf,Fiction,1943-02-24,,"Plainsong (novel), The Tie That Binds (novel)"
Kentaro Miura,Dark fantasy,1966-07-11,,Berserk (manga)
Kevin Brooks (writer),Young adult fiction,1959-03-30,,"Martyn Pig, The Bunker Diary"
Kevin Crossley-Holland,Fiction,1941-02-07,,The Seeing Stone
Kevin Hearne,"Science fiction, Urban fantasy",1970-12-09,,"Star Wars: Heir to the Jedi, The Iron Druid Chronicles"
Kevin Henkes,Children's literature,1960-11-27,,"Chrysanthemum (book), Circle Dogs, Kitten's First Full Moon, Olive's Ocean, Sheila Rae, the Brave, Waiting (picture book)"
Kevin VanHook,"Horror, Superhero",1965-06-24,United States,Bloodshot (comics)
Khaled Hosseini,Fiction,1965-03-04,,"A Thousand Splendid Suns, The Kite Runner"
Khin Khin Htoo,Romance novel,1965-12-07,,Phat Sein Kyun Taung Shwe Wuttu-to Mya
Kieran Scott,Young adult literature,1974-03-11,,Private (novel series)
Kim Mohan,Role-playing game,1949-05-04,,"Dragon (magazine), Wilderness Survival Guide"
Kimiko Hahn,Poetry,1955-07-05,,Earshot (book)
Kir Bulychev,Science fiction,1934-10-18,Russian people,Alisa Selezneva
Kiyohiko Azuma,Shōnen manga,1968-05-27,,"Azumanga Daioh, Yotsuba&!"
Klas Östergren,Literary,1955-02-20,,"Gangsters (novel), Gentlemen (novel)"
Koji Suzuki,"Fantasy, Horror fiction, Science fiction, Thriller (genre)",1957-05-13,Japanese,"Dark Water (book), Ring (Suzuki novel)"
Koji Yanagi,"Mystery fiction, Thriller (genre)",1967-09-20,Japanese,Joker Game
Kola Onadipe,Children's literature,1922-07-14,Nigerian,Sugar Girl (novel)
Konstantin Trenyov,"Drama, short stories",1876-06-02,Russians,Lyubov Yarovaya
Kottarathil Sankunni,"Novel, short Story",1855-03-23,India,Aithihyamala
Kouhei Kadono,Mystery fiction,1968-12-12,,Boogiepop series
Koushun Takami,"Fiction, Journalism",1969-01-10,Japanese,Battle Royale (novel)
Krzysztof Kąkolewski,"Mystery fiction, Non-fiction",1930-03-16,Polish,Kielce pogrom
Kulpreet Yadav,"Conspiracy fiction, Mystery fiction, Thriller (genre)",1968-01-14,,Sushant Singh
Kęstutis Kasparavičius,"Children, Family, Fantasy, Humor, Animals",1954-06-02,Lithuania,The Missing Picture
L. T. C. Rolt,"Industrial history, Biography, Ghost stories",1910-02-11,,"George Stephenson, Isambard Kingdom Brunel, Narrow Boat (book), Robert Stephenson, Thomas Telford"
Laini Taylor,Young adult fiction,1971-12-11,,Daughter of Smoke and Bone (trilogy)
Larry Brown (author),"novel, short story, essay",1951-07-09,,Dirty Work (Larry Brown novel)
Larry Niven,"Fantasy, Hard science fiction",1938-04-30,,"Dream Park, Lucifer's Hammer, Ringworld, The Mote in God's Eye, The Ringworld Engineers"
Laura Hillenbrand,non-fiction,1967-05-15,,"Seabiscuit: An American Legend, Unbroken: A World War II Story of Survival, Resilience, and Redemption"
Laura Ingalls Wilder,Family saga,1867-02-07,,"List of Little House on the Prairie books, Little House on the Prairie (novel)"
Laurell K. Hamilton,"Erotica, Fantasy novel, Horror novel, Romance novel, Science fiction",1963-02-19,,"Anita Blake: Vampire Hunter, Merry Gentry (series)"
Lauren Child,Children's literature,1965-11-29,,"Charlie and Lola, Clarice Bean, Ruby Redfort"
Lauren DeStefano,Utopian and dystopian fiction,1984-10-13,,Wither (DeStefano novel)
Lauren Oliver,"Dystopia, Romance novel, Science fiction, Young adult fiction",1982-11-08,English,Before I Fall
Lauren Weisberger,Fiction,1977-03-28,,The Devil Wears Prada (novel)
Laurent de Brunhoff,Children's literature,1925-08-30,France,Babar the Elephant
Laurie Halse Anderson,"Historical fiction, Picture books, Young adult fiction",1961-10-23,,"Catalyst (novel), Chains (novel), Shout (memoir), Speak (Anderson novel), Twisted (Anderson novel), Wintergirls"
Lavie Tidhar,Slipstream (genre),1976-11-16,,Osama (novel)
Lawrence Ritter,"Business, Sports",1922-05-23,,The Glory of Their Times
Lawrence Sanders,"Crime, Fiction, Mystery fiction",1920-03-15,,The Anderson Tapes
Lawrie Metcalf,Gardening and plant guides,1928-08-18,New Zealand,Hebe (plant)
Lea Bayers Rapp,"Children's fiction, Non-fiction",1946-07-19,English,Mazel tov
Lee Carlson,Memoir,1958-02-21,,Passage to Nirvana
Lee Child,"Crime fiction, Mystery fiction, Thriller (genre)",1954-10-29,,Jack Reacher
Lee Yeongdo,Fantasy,1972-07-21,,"Dragon Raja, The Bird That Drinks Tears"
Leigh Bardugo,"Fantasy literature, Young adult fiction",1975-04-06,Israel,"Grisha Trilogy, Six of Crows"
Leigh Bardugo,"Fantasy literature, Young adult fiction",1975-04-06,USA,"Grisha Trilogy, Six of Crows"
Leigh Brackett,"Crime fiction, Science fiction",1915-12-07,,Eric John Stark
Len Lakofka,Role-playing game,1944-01-10,,Lendore Isles
Leon Garfield,Children's literature,1921-07-14,British people,The God Beneath the Sea
Leon Parris,"Musical theatre, film, and TV",1981-02-01,,Wolfboy
Leon Uris,Historical fiction,1924-08-03,English,"Exodus (Uris novel), Mila 18, QB VII"
Leon de Winter,Novel,1954-02-26,,Zoeken naar Eileen W.
Leslie Ludy,Christianity,1975-12-16,,When God Writes Your Love Story
Leslie McFarlane,Young adult fiction,1902-10-25,,Hardy Boys
Lewis A. McArthur,Geography,1883-04-27,,Oregon Geographic Names
Lewis Grassic Gibbon,General fiction,1901-02-13,,"A Scots Quair, Sunset Song"
Lewis Mumford,", History, philosophy",1895-10-19,,"Technics and Civilization, The City in History, The Myth of the Machine"
Liad Shoham,Crime fiction,1971-12-31,Israel,Thumbnail
Lin Carter,"Fantasy, Science fiction",1930-06-09,,Imaginary Worlds – the Art of Fantasy
Lincoln Child,"Adventure (genre), Techno-thriller, Thriller (genre)",1957-10-13,,Aloysius Pendergast
Linda Wolfe,"Criticism, Journalism, Non-fiction, True crime",1932-11-15,,Wasted: The Preppie Murder
Linden Dalecki,"Children's books, Novels, Teenager",1968-12-23,,Kid B
Linden MacIntyre,"Non-fiction, fiction",1943-05-29,Canadians,The Bishop's Man
Lisa Genova,Literary fiction,1970-11-22,,Still Alice (novel)
Liu Cixin,Science fiction,1963-06-23,,Remembrance of Earth's Past
Liu E (writer),Illustrated fiction,1857-10-18,Chinese,The Travels of Lao Can
Livi Michael,Fiction,1960-03-15,,The Whispering Road
Liza Marklund,"Crime fiction, Detective fiction, Mystery fiction",1962-09-09,,The Bomber (film)
Lloyd Alexander,"Children's literature, Fantasy",1924-01-30,,"The Chronicles of Prydain, Westmark (novel)"
Lois Lowry,Fantasy,1937-03-20,,"Number the Stars, The Giver"
Lord Dunsany,"Crime fiction, High fantasy, Horror fiction, Weird fiction",1878-07-24,Hiberno-English,"The Gods of Pegāna, The King of Elfland's Daughter"
Lorin Morgan-Richards,"Gothic Western, Gothic fiction, Literary nonsense, Supernatural fiction, Surrealism, Weird West, Western (genre), Young adult fiction",1975-02-16,,"A Boy Born from Mold and Other Delectable Morsels, Lorin Morgan-Richards, Me’ma and the Great Mountain, Simon Snootle and Other Small Stories, The Goodbye Family"
Louis Fles,Non-fiction,1871-10-19,,Adolf Hitler
Louis Sachar,Children's fiction,1954-03-20,,"Holes (novel), Johnny's in the Basement, Small Steps (novel), Stanley Yelnats' Survival Guide to Camp Green Lake, Wayside School (book series)"
Louise Daniel Hutchinson,non-fiction,1928-06-03,,Anacostia Community Museum
Louise Erdrich,Native American Studies,1954-06-07,Ojibwa,"Love Medicine, The Beet Queen, The Bingo Palace, The Night Watchman (novel), The Round House (novel), Tracks (novel)"
Louise Fitzhugh,"Children's literature, Young adult fiction",1928-10-05,,Harriet the Spy
Louise Hay,"Metaphysics, Motivation, Self-help",1926-10-08,,You Can Heal Your Life
Louise Penny,Mystery fiction,1958-07-01,Canadians,Chief Inspector Armand Gamache
Lourd de Veyra,"Poetry, Essay, Novel, Punk, Spoken Word, Jazz",1975-02-11,Filipino people,History with Lourd
Lucifer Chu,"Criticism, Fantasy, High fantasy",1975-02-19,,"The Hobbit, The Lord of the Rings"
Lucy Maud Montgomery,"Canadian literature, Children's novels, Short fiction",1874-11-30,Canadians,"Anne of Green Gables, Emily of New Moon, Rilla of Ingleside"
Ludovico Ariosto,Epic poetry,1474-09-08,Italian language,Orlando Furioso
Ludwig Bemelmans,Children's literature,1898-04-27,,Madeline
Luigi Pirandello,"Drama, Novel, Poetry",1867-06-28,Italian nationality law,"Henry IV (Pirandello), One, No One and One Hundred Thousand, Six Characters in Search of an Author, The Late Mattia Pascal"
Luis López Nieves,"Novel, Short Story",1950-01-17,Puerto Rico,Seva (short story)
Luiz Ruffato,Novelist,1961-02-04,Portuguese,Lisbon
Luke Rhinehart,Humor,1932-11-15,,"Adventures of Wim, The Dice Man, The Search for the Dice Man"
Lurana W. Sheldon,"novels, poetry, short stories",1862-04-11,English,Dime novel
Lydia Chukovskaya,"fiction, poetry, memoirs",1907-03-24,,Sofia Petrovna
Lynda Williams,Science fiction,1958-02-17,Canadians,Okal Rel Universe
Lynley Dodd,"Children's literature, Picture books",1941-07-05,English,"Hairy Maclary from Donaldson's Dairy, My Cat Likes to Hide in Boxes"
Lynn Flewelling,Fantasy,1958-10-20,,Nightrunner Series
Lysander Spooner,non-fiction,1808-01-19,,"No Treason, The Unconstitutionality of Slavery"
Lyudmila Ulitskaya,"Fiction, script writing",1943-02-21,,Sonechka
